Creare persoana noua,2023-05-22 16:19:24
Afisare persoana,2023-05-22 16:19:31
Afisare persoana,2023-05-22 16:19:39
Creare bilet nou,2023-05-22 16:21:14
Creare avion nou,2023-05-22 16:21:40
Creare zbor nou,2023-05-22 16:22:09
Afisare zbor,2023-05-22 16:23:00
Calculul consumului de kerosen pentru un avion creat,2023-05-22 16:23:45


